Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
414050,SENSACAO Chocolate 12 24x38g  BR        ,1806.31.10      ,7891000405000,7891000405017,17891000040505,108,CHOCOLATES NESTLE,60,TABLETES NESTLE,Nestlé
414057,MOCA Chocolate 12 24x38g  BR            ,1806.31.10      ,7891000405703,7891000405710,17891000040574,108,CHOCOLATES NESTLE,60,TABLETES NESTLE,Nestlé
414216,CHOKITO Chocolate 18 30x32g  BR         ,1806.90.00      ,7891000462300,7891000003299,17891000002930,108,CHOCOLATES NESTLE,54,CANDY BARS NESTLE,Nestlé
414513,NESTLE Choc em Po Soluvel 25x200g XI    ,1806.10.00      ,7891000451304,,17891000045135,108,CHOCOLATES NESTLE,59,POS NESTLE,Nestlé
414602,PRESTIGIO Chocolate 30x33g BR           ,1806.90.00      ,7891000460207,7891000460214,17891000046026,108,CHOCOLATES NESTLE,54,CANDY BARS NESTLE,Nestlé
414649,CHARGE Chocolate 12 30x40g  XW          ,1806.90.00      ,7891000464908,7891000464915,17891000046491,108,CHOCOLATES NESTLE,54,CANDY BARS NESTLE,Nestlé
415012,MAGGI GRIL Tempero 30x120g XW           ,2103.90.21      ,7891000502204,,17891000000080,117,MAGGI,120,TEMPEROS VIDRO,Nestlé
415013,MAGGI Amaciante Car c  Tempero 30x120gBR,3507.90.26      ,7891000502303,,17891000000097,117,MAGGI,120,TEMPEROS VIDRO,Nestlé
415014,MAGGI FONDOR Tempero 30x120g BR         ,2103.90.21      ,7891000502105,,17891000000295,117,MAGGI,120,TEMPEROS VIDRO,Nestlé
415084,MAGGI MEU SEGREDO Temp Gran 42 7x7g BR  ,2103.90.21      ,7891000006689,,17891000005153,117,MAGGI,119,TEMPEROS SACHET,Nestlé
415306,MAGGI Sopa Cebola 12x68g BR             ,2104.10.11      ,7891000530603,7891000530610,17891000053062,117,MAGGI,116,DEMAIS SOPAS,Nestlé
415385,MAGGI Creme Cebola 12x68g BR            ,2104.10.11      ,7891000538500,7891000538517,17891000053857,117,MAGGI,116,DEMAIS SOPAS,Nestlé
415400,MAGGI Sopao Sp Costela 24x200g BR       ,2104.10.11      ,7891000026182,,7891000026199,117,MAGGI,118,SOPAO,Nestlé
415420,NESCAFE Descafeinado Sachet 24x50g BR   ,2101.11.10      ,7891000026403,,7891000026410,118,NESCAFE,125,NESCAFE SACHET,Nestlé
415444,MAGGI Sopa Carne Conchinhas 10x63g BR   ,2104.10.11      ,7891000544402,7891000544419,17891000054441,117,MAGGI,116,DEMAIS SOPAS,Nestlé
415446,MAGGI Sopa Gl Fidelini 12 10x60g BR     ,2104.10.11      ,7891000544600,7891000544617,17891000054465,117,MAGGI,116,DEMAIS SOPAS,Nestlé
415820,MAGGI Sopao Galinha 24x200g BR          ,2104.10.11      ,7891000582008,,17891000058203,117,MAGGI,118,SOPAO,Nestlé
415821,MAGGI Sopao Sp Carne 24x200g BR         ,2104.10.11      ,7891000582107,,17891000058210,117,MAGGI,118,SOPAO,Nestlé
415823,MAGGI SOPaO Sp Canja Galinha 24x200g BR ,2104.10.11      ,7891000582305,,17891000058234,117,MAGGI,118,SOPAO,Nestlé
418897,CALIPSO Biscoito Coberto 40x130g XI     ,1905.31.00      ,7891000889701,,17891000088972,105,BISCOITOS,23,BISCOITOS COBERTOS,Nestlé
419128,PASSATEMPO Biscoito Cob Choc 36x120g XI ,1905.31.00      ,7891000912805,,17891000091286,105,BISCOITOS,23,BISCOITOS COBERTOS,Nestlé
12019398,MAGGITempero e Sabor TemprCar48 10x5g BR,2103.90.21      ,7891000037300,,7891000037317,117,MAGGI,119,TEMPEROS SACHET,Nestlé
12019569,MAGGITempero e Sabor TemprAve48 10x5g BR,2103.90.21      ,7891000037270,,7891000037287,117,MAGGI,119,TEMPEROS SACHET,Nestlé
12019590,MAGGITempero e SaborTemprLeg 48 10x5g BR,2103.90.21      ,7891000037256,,7891000037263,117,MAGGI,119,TEMPEROS SACHET,Nestlé
12028625,NESCAFE ORIGINAL 24x100g BR             ,2101.11.10      ,7891000300503,,17891000030056,118,NESCAFE,126,NESCAFE VIDRO 100G,Nestlé
12029252,NESCAFE TRADICAO 24x100g BR             ,2101.11.10      ,7891000029329,,7891000029336,118,NESCAFE,126,NESCAFE VIDRO 100G,Nestlé
12029565,NESCAFE MATINAL 24x100g BR              ,2101.11.10      ,7891000315507,,17891000031558,118,NESCAFE,126,NESCAFE VIDRO 100G,Nestlé
12039406,NESTLE Papinha Frutas Sortidas 6x120g BR,2104.20.00      ,7891000049105,,7891000048719,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039408,NESTLE Papinha Maca e Banana 6x120g BR  ,2104.20.00      ,7891000049112,,7891000048702,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039466,NESTLE Papinha Banana c  Aveia 6x120g BR,2104.20.00      ,7891000049020,,7891000048986,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039468,NESTLE PapinhaPeitodeFrgLegMaca6x115gBR ,2104.20.00      ,7891000049051,,7891000048757,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039469,NESTLE Papinha Car Leg e Mand 6x115g BR ,2104.20.00      ,7891000049068,,7891000048740,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039537,NESTLE Papinha PedCarArrozCdoFei6x170gBR,2104.20.00      ,7891000049235,,7891000048931,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039538,NESTLE PapinhaPedCarMacarraoLeg 6x170gBR,2104.20.00      ,7891000049259,,7891000048979,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039539,NESTLE Papinha CdoFeijaoLegBetr 6x115gBR,2104.20.00      ,7891000049266,,7891000048948,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
